cohort	name	x_handle	email	type	beat	status	reason
r-initial	David Lombardi	@LombardiHimself		r	nfl	closed	x-unreachable
r-initial	Matt Barrows	@mattbarrows		r	nfl	closed	x-unreachable
r-initial	Dan Wiederer	@danwiederer		r	nfl	closed	x-unreachable
r-initial	Jeff Howe	@jeffphowe		r	nfl	closed	x-unreachable
r-initial	Shelby Talcott	@ShelbyTalcott		r	politics	follow-up	
r-initial	Leigh Ann Caldwell	@LACaldwellDC		r	politics	follow-up	
r-initial	Andrew Feinberg	@AndrewFeinberg		r	politics	follow-up	
r-initial	Olivia Beavers	@Olivia_Beavers		r	politics	follow-up	
r-initial	Melanie Zanona	@MZanona		r	politics	follow-up	
r-initial	Jessica Elgot	@jessicaelgot		r	politics	follow-up	
r-initial	Aubrey Allegretti	@breeallegretti		r	politics	follow-up	
r-initial	Reese Gorman	@reesejgorman		r	politics	follow-up	
r-initial	Andrew Desiderio	@AndrewDesiderio		r	politics	follow-up	
r-initial	Andrew Solender	@AndrewSolender		r	politics	follow-up	
r-initial	Vaughn Hillyard	@VaughnHillyard		r	politics	follow-up	
r-initial	Kellie Meyer	@KellieMeyerNews		r	politics	closed	x-unreachable
r-initial	Rachael Bade	@rachaelmbade		r	politics	follow-up	
r-initial	Annie Karni	@anniekarni		r	politics	closed	x-unreachable
r-initial	Sarah Ferris	@sarahnferris		r	politics	follow-up	
r-initial	Marianna Sotomayor	@MariannaReports		r	politics	closed	x-unreachable
r-initial	Alex Isenstadt	@axiosalex		r	politics	closed	x-unreachable
r-initial	Aaron Blake	@AaronBlake		r	politics	closed	x-unreachable
r-initial	Josh Wingrove	@josh_wingrove		r	politics	follow-up	
r-initial	Sienna Rodgers	@siennamarla		r	politics	closed	x-unreachable
r-initial	Jake Sherman	@JakeSherman		r	politics	follow-up	
r-initial	Burgess Everett	@BurgesEvans		r	politics	closed	x-unreachable
r-initial	Alexander Burns	@alexburnsNYT		r	politics	closed	x-unreachable
r-initial	Manu Raju	@mkraju		r	politics	closed	x-unreachable
r-initial	Chad Pergram	@ChadPergram		r	politics	closed	x-unreachable
r-initial	Kasie Hunt	@KasieHunt		r	politics	closed	x-unreachable
r-initial	Hugo Rifkind	@hugorifkind		r	politics	follow-up	
r-initial	Pippa Crerar	@PippaCrerar		r	politics	follow-up	
r-initial	Beth Rigby	@BethRigby		r	politics	closed	x-unreachable
r-initial	Robert Peston	@RobertPeston		r	politics	closed	x-unreachable
r-initial	Alex Thompson	@AlexThomp		r	politics	outreach	
r-initial	Kyle Cheney	@kyledcheney		r	politics	outreach	
r-initial	Scott Wong	@scottwongDC		r	politics	closed	x-unreachable
r-initial	Meridith McGraw	@meridithmcgraw		r	politics	outreach	
r-initial	Myah Ward	@MyahWard		r	politics	outreach	
r-initial	Florian Plettenberg	@Plettigoal		r	football	follow-up	
r-initial	Nicolò Schira	@NicoSchira		r	football	follow-up	
r-initial	Ben Jacobs	@JacobsBen		r	football	follow-up	
r-initial	Rudy Galetti	@RudyGaletti		r	football	follow-up	
r-initial	Mike McGrath	@mcgrathmike		r	football	follow-up	
r-initial	Football Transfers	@Transferzone00		r	football	follow-up	
r-initial	Transfersthathappened	@actualtransfers		r	football	follow-up	
r-initial	David Ornstein	@David_Ornstein		r	football	closed	x-unreachable
r-initial	Gianluca Di Marzio	@DiMarzio		r	football	closed	x-unreachable
r-initial	NBA Trade Report	@NBATradeReport		r	nba	review	
r-initial	Yueqi Yang	@Yueqi_Yang		r	crypto	review	
